날짜,제품명,마케팅채널,마케팅비용,노출수,클릭수,전환수
2023-07-10,퀀텀 태블릿 Lite,Instagram,146823,61171,1204,386
2023-04-22,퀀텀 플랫폼 Lite3,Facebook,105935,78054,124,105
2023-07-23,울트라 솔루션 Ultra2,Instagram,157171,68647,9995,1856
2023-11-09,AI 노트북 Ultra,Instagram,61718,93038,4133,3319
2023-03-27,고성능 카메라 SE,Facebook,309360,61707,4361,2818
2023-10-22,프로 플랫폼 Air8,Google Ads,467385,73389,6042,5260
2023-12-20,퓨처 모니터 Pro6,YouTube,99969,50614,442,404
2023-05-28,무선 스피커 Pro,Blog,306160,36798,1929,1737
2023-06-26,AI 솔루션 SE,Instagram,66538,34130,3559,2743
2023-02-20,울트라 스피커 Lite,Naver Ads,364082,5197,5197,4373
2023-10-11,퓨처 솔루션,YouTube,437399,89619,9775,6886
2023-08-09,퓨처 드론 Max7,Naver Ads,187830,81799,9789,1863
2023-10-08,무선 공기청정기 Lite9,Instagram,448478,31459,741,232
2023-01-17,기가 플랫폼 Plus,Naver Ads,357274,59659,3122,1644
2023-10-19,스마트 워치 Pro,Instagram,39571,48234,8597,3639
2023-10-09,에코 모니터 Pro5,Naver Ads,97260,25889,3587,1699
2023-07-11,네오 모니터 Lite3,Instagram,264930,21528,2972,1532
2023-04-16,프로 마우스 Pro,Google Ads,31994,9797,6704,5958
2023-02-06,퀀텀 플랫폼 Lite,YouTube,287792,76643,7158,4341
2023-08-09,고성능 마우스 Z,Blog,367735,91533,1435,561
2023-10-06,퀀텀 카메라 Pro,Facebook,454095,55268,4124,2905
2023-05-20,에코 센서 X7,YouTube,364793,92004,969,156
2023-04-26,하이퍼 키보드 Air,Blog,40756,54080,7319,294
2023-01-06,울트라 센서 Plus4,Blog,296945,41979,8405,230
2023-07-29,고성능 노트북 Z4,Facebook,145551,73681,4774,820
2023-03-09,기가 솔루션 Ultra,YouTube,244902,55531,7881,440
2023-05-19,AI 메모리 X1,Blog,49709,24052,9984,620
2023-05-08,네오 키보드 Pro9,Naver Ads,188120,53595,4483,2453
2023-01-04,울트라 플랫폼 Max7,Instagram,363373,11802,3006,1768
2023-07-17,울트라 워치 Ultra,Naver Ads,133417,4151,4151,3060
2023-10-28,퀀텀 플랫폼 Lite3,Naver Ads,413526,50814,6973,6072
2023-12-11,기가 메모리 Go,Instagram,423227,69234,2510,1604
2023-12-12,에코 프로세서 Plus,Instagram,196141,28392,6582,3776
2023-12-13,퓨처 로봇청소기 Pro,Blog,93976,96000,1941,75
2023-03-03,기가 메모리 X,Instagram,439513,79524,8458,75
2023-12-23,고성능 스피커 Lite3,Naver Ads,220068,79986,370,107
2023-02-19,에코 노트북 Ultra,Facebook,486006,53192,5324,3820
2023-09-16,고성능 드론 Ultra4,Instagram,40368,88203,2945,2817
2023-04-29,기가 워치 Air,Google Ads,399070,78917,3179,3141
2023-07-25,퓨처 키보드 X,Blog,284384,62277,6036,3103
2023-07-14,무선 솔루션 Pro,Naver Ads,139306,3217,3217,2864
2023-02-05,고성능 프로젝터 Go3,Google Ads,313003,90013,8874,2640
2023-05-19,AI 허브 Plus1,Facebook,342006,63170,6814,3926
2023-06-14,무선 메모리 Lite7,Instagram,438995,87044,6740,713
2023-10-14,에코 글래스 SE9,Naver Ads,139192,65008,5416,3602
2023-01-10,프로 충전기 Ultra,Google Ads,109557,76264,5904,1400
2023-10-06,하이퍼 워치 Plus8,Facebook,422283,8112,8112,3440
2023-11-20,에코 프로세서 Air10,Naver Ads,470291,69648,5983,1297
2023-08-10,스마트 메모리 Plus,Naver Ads,82776,71913,357,134
2023-09-06,울트라 태블릿 SE,Naver Ads,478260,66302,8462,1276
2023-03-10,기가 솔루션 Ultra9,YouTube,323450,43014,1667,1278
2023-12-30,AI 솔루션 X8,Instagram,122893,30516,9816,3712
2023-06-27,무선 가습기 SE,Facebook,101523,55484,4400,96
2023-05-18,AI 스피커 Z,Naver Ads,407950,33431,2973,648
2023-06-16,퀀텀 시스템 Plus1,Naver Ads,176764,19236,1875,1861
2023-10-13,프로 마우스 Lite8,Facebook,301549,5818,723,691
2023-04-06,하이퍼 카메라 Go10,Naver Ads,52293,93895,6629,3900
2023-02-05,울트라 드론 Go2,Blog,421666,84667,9661,5111
2023-08-18,AI 솔루션 X8,Naver Ads,219210,70523,9649,4679
2023-07-18,하이퍼 공기청정기 Air,Blog,18678,41458,2717,1746
2023-12-11,네오 스피커,Naver Ads,396687,18241,761,388
2023-01-03,무선 키보드 Plus8,Facebook,278369,26279,397,239
2023-11-07,무선 충전기 SE,Facebook,90842,12628,3611,1443
2023-07-19,무선 스피커,Facebook,103803,68493,694,444
2023-03-24,울트라 키보드 Go5,Instagram,377890,13394,6692,1133
2023-01-29,무선 스피커 Pro,Naver Ads,464565,12513,8811,5949
2023-03-20,울트라 드론 Go4,Blog,159713,27244,9101,5813
2023-11-21,무선 플랫폼 Pro6,YouTube,202091,48312,4326,2995
2023-01-20,무선 스피커 X2,Naver Ads,23858,92653,7213,1210
2023-08-08,울트라 카메라 Pro10,Google Ads,498802,15800,794,380
2023-03-31,네오 시스템,Naver Ads,393045,22544,3187,1590
2023-06-27,무선 키보드 Ultra1,Facebook,259554,50580,3165,2219
2023-10-12,퓨처 로봇청소기 Air5,YouTube,106728,74841,6575,5905
2023-05-30,프로 드론 Z8,YouTube,445811,25565,473,100
2023-11-07,AI 프로젝터 Pro4,Blog,282166,89085,3565,2100
2023-06-03,에코 노트북,Naver Ads,151539,66556,3157,658
2023-08-03,퀀텀 로봇청소기 Pro,Instagram,468837,28134,4235,2062
2023-11-14,스마트 허브 Plus,Naver Ads,234729,14323,3412,1958
2023-12-13,에코 센서 SE10,Facebook,126236,27668,9437,6982
2023-09-21,하이퍼 워치 Go,YouTube,84389,59501,3506,942
2023-03-27,기가 로봇청소기 X1,YouTube,391756,18643,7202,2829
2023-09-06,기가 가습기 Ultra,Instagram,119130,86245,9402,2198
2023-10-11,퀀텀 충전기 SE,Google Ads,53978,3136,3136,3125
2023-11-30,퓨처 워치 Plus,Instagram,21443,88374,6572,3448
2023-08-30,울트라 솔루션,YouTube,148109,37449,5323,5119
2023-07-26,퀀텀 스피커 Max5,Facebook,160347,46675,3430,2798
2023-02-06,기가 프로세서 Ultra2,YouTube,196746,58332,2979,2604
2023-07-22,AI 태블릿 Lite,Google Ads,245581,38322,7126,2395
2023-11-07,기가 허브 Go,Blog,445753,84022,2541,2506
2023-11-22,에코 시스템 Plus,Blog,23755,26024,9817,7903
2023-12-26,네오 충전기 Air,Naver Ads,450624,31539,6360,907
2023-10-05,무선 워치 Z3,YouTube,405853,49100,472,443
2023-07-12,AI 솔루션 SE,Instagram,460285,38820,8963,3130
2023-09-29,퀀텀 시스템 Go9,YouTube,304927,29065,5185,3933
2023-06-17,하이퍼 글래스 Ultra7,Blog,425488,21903,8831,6480
2023-05-23,고성능 솔루션 Pro,Facebook,320399,82017,8722,1278
2023-12-31,AI 스피커 Lite,YouTube,203310,63446,3906,2847
2023-05-04,퓨처 가습기 Max4,Instagram,165559,35537,4662,1091
2023-02-25,퓨처 마우스 Lite,Blog,397113,56812,2494,2248
2023-06-09,에코 센서 Max6,Google Ads,235411,27389,1848,1361
2023-04-01,에코 로봇청소기 Lite8,Instagram,342529,2904,2904,63
2023-01-11,스마트 프로젝터 Plus2,YouTube,333248,33572,8815,3716
2023-11-23,퓨처 노트북 Plus6,YouTube,327355,78911,8866,4704
2023-07-07,퓨처 키보드 Max10,Facebook,17418,50592,1380,321
2023-12-03,고성능 가습기 X7,Google Ads,118768,94908,8064,726
2023-09-24,무선 로봇청소기 Plus,Google Ads,274178,17713,3840,378
2023-10-06,퓨처 가습기 Air,Naver Ads,440430,22900,8170,314
2023-04-26,하이퍼 워치 Ultra,Naver Ads,149047,84181,792,321
2023-07-11,에코 마우스 Plus7,Instagram,436283,32261,7016,4859
2023-06-20,스마트 노트북 Pro,Blog,413424,66123,4787,1594
2023-11-21,AI 스피커 Lite4,Naver Ads,78588,23481,7434,2046
2023-12-07,프로 솔루션 Lite10,YouTube,78796,67619,4478,2141
2023-11-06,네오 충전기 Go3,Blog,309779,83170,9866,3201
2023-10-18,AI 스피커 X5,Naver Ads,49243,93056,7200,2200
2023-01-06,스마트 시스템 Go7,YouTube,196261,51850,758,135
2023-12-04,AI 허브 Plus1,YouTube,140020,99017,1596,1284
2023-04-02,고성능 센서 Plus,Naver Ads,399958,56852,4740,3127
2023-09-01,에코 워치 X9,YouTube,42493,44133,3570,375
2023-08-25,무선 로봇청소기 Pro8,Instagram,323088,23823,315,232
2023-09-06,프로 플랫폼 Air8,Facebook,420805,47596,6723,1293
2023-07-08,하이퍼 워치 Plus8,Blog,62496,99697,7012,812
2023-09-03,하이퍼 충전기 Z,Instagram,267880,95925,3144,1180
2023-03-17,무선 솔루션 SE7,Blog,129441,13799,3561,181
2023-08-01,AI 메모리 X1,Google Ads,70533,43879,7186,328
2023-10-18,네오 가습기 Go,Naver Ads,459260,96254,9849,7653
2023-12-18,하이퍼 카메라 X,Facebook,124026,74062,8454,3144
2023-06-07,네오 공기청정기 Go,Instagram,304986,95202,9756,1211
2023-07-11,무선 공기청정기 SE,Google Ads,223073,74489,9399,5236
2023-01-10,네오 허브 X,YouTube,142023,14578,7003,4342
2023-08-31,기가 충전기 Lite9,Blog,16052,33811,9408,6349
2023-09-09,에코 충전기 Pro,YouTube,158905,69106,7429,4143
2023-01-18,AI 글래스 Max,Blog,452215,16521,982,501
2023-08-15,프로 워치 Z5,Instagram,488770,3088,818,92
2023-06-05,에코 로봇청소기 Ultra5,Blog,93194,66247,1606,731
2023-06-03,에코 글래스 Max,YouTube,418685,20504,8703,1327
2023-11-11,네오 메모리 Plus10,YouTube,274139,57424,5646,693
2023-10-22,스마트 시스템 Go7,Blog,411192,1746,1746,1732
2023-03-25,하이퍼 이어폰 Plus9,Blog,314981,30398,5177,881
2023-06-07,AI 태블릿 SE,Blog,59984,68220,4542,3969
2023-09-15,울트라 로봇청소기 Z6,YouTube,394531,14994,6136,4807
2023-09-03,프로 마우스 Pro,Google Ads,94588,52537,2905,69
2023-09-13,하이퍼 스피커 Go,Instagram,413083,56030,5801,1053
2023-11-08,에코 로봇청소기 X,Blog,461268,8884,5221,4646
2023-08-16,AI 스피커 SE,Instagram,176991,36794,9996,9508
2023-06-28,울트라 노트북 Air,Instagram,37450,61160,9907,2353
2023-06-24,하이퍼 플랫폼,Naver Ads,264112,86413,7786,5984
2023-07-29,AI 태블릿 Z,YouTube,205872,99662,8449,6107
2023-08-10,퀀텀 솔루션 Z7,Instagram,137839,1312,1312,562
2023-10-10,스마트 허브 Plus,Google Ads,124820,77566,3534,947
2023-05-15,네오 모니터,Google Ads,495355,97958,6473,4
2023-01-11,기가 태블릿 Lite,Blog,63945,81584,690,475
2023-07-24,기가 메모리 X4,YouTube,388497,25385,9778,3153
2023-08-24,울트라 충전기 Pro10,Blog,167276,68508,876,643
2023-05-08,에코 드론 X,Facebook,162565,84024,6834,3003
2023-01-19,스마트 시스템 Go7,Blog,234786,1546,1405,303
2023-02-24,하이퍼 충전기 Z,YouTube,493029,74842,4530,778
2023-10-28,퓨처 워치,Google Ads,459158,83747,5691,5518
2023-09-05,AI 프로젝터 Pro4,Google Ads,219887,67234,3241,1627
2023-09-15,프로 프로젝터,Facebook,263509,75985,9378,6247
2023-10-30,고성능 드론 Plus2,Blog,335980,3103,3103,2010
2023-07-22,기가 플랫폼 Air,Google Ads,136112,56815,5613,2865
2023-12-18,프로 카메라,YouTube,185935,57403,7215,3573
2023-12-28,네오 메모리 Air5,YouTube,394398,19955,6794,3109
2023-10-25,스마트 프로젝터 X,Blog,284219,58323,8881,6887
2023-04-11,에코 공기청정기 Go,Naver Ads,29208,31332,6499,6224
2023-12-21,AI 키보드 Pro,YouTube,49194,20840,7225,6176
2023-10-11,프로 메모리 X,Instagram,323558,49410,6624,4831
2023-12-28,하이퍼 플랫폼,Facebook,71204,87926,7643,630
2023-05-06,기가 태블릿 Max,Blog,444036,70510,7359,6595
2023-11-06,무선 로봇청소기 Pro8,Facebook,57443,1666,1666,676
2023-09-29,스마트 마우스 X,Naver Ads,191726,86086,7577,6657
2023-09-14,고성능 가습기 X7,Google Ads,134399,62629,6898,3940
2023-04-12,기가 메모리 X4,Facebook,468847,92226,8588,799
2023-07-21,퓨처 모니터 Lite,Blog,368587,77677,1214,215
2023-02-12,AI 노트북 Ultra,Blog,369309,34244,8283,2942
2023-05-01,하이퍼 프로세서 SE,YouTube,391394,34147,6494,69
2023-01-05,프로 마우스 Plus,Facebook,236381,78886,7552,3689
2023-05-23,네오 메모리 Max4,Naver Ads,353949,16473,5147,1301
2023-08-03,울트라 허브 X2,Facebook,272088,73731,2990,201
2023-05-02,무선 드론 Lite,Blog,29295,93569,3652,1235
2023-11-15,하이퍼 키보드 Air,Naver Ads,104030,16186,7211,4544
2023-12-04,기가 메모리 Ultra9,Facebook,248895,41611,5172,2735
2023-10-06,스마트 메모리 Plus,Google Ads,288233,72081,7979,2738
